festival;Artistas;Genero
;;
Vi¤a Rock;La Polla Records;Rock
;Lendakaris Muertos;Rock
;Talco;Rock
;;
;;
Medusa;Anuel AA;Reggaeton
5-10 Ago;Karol G;Reggaeton
;Martin Garrix;EDM
;Nervo;EDM
;Nicky Romero;EDM
;Steve Aoki;EDM
;Timmy Trumpet;EDM
;Ummet Ozcan;EDM
;Carl Cox;EDM
;Fisher;EDM
;Marco Carola;EDM
;Nina Kraviz;EDM
;Costa;Urbano
;Omar Montes;Reggaeton
;Zetazen;Rap
;Angerfist;EDM
;Da Tweekaz;EDM
;Head Hunterz;EDM
;;
;;
DreamBeach;Alesso;EDM
5-9 Ago;Dimitri Vegas & Like Mike;EDM
;Alison Wonderland;EDM
;B-Front;EDM
;Brennan Heart;EDM
;Brian Cross;EDM
;Dj Nano;EDM
;Vini Vici;EDM
;Nervo;EDM
;999999999;EDM
;Amelie Lens;EDM
;Anna;EDM
;Anna Tur;EDM
;Boris Brejcha;EDM
;Cellini;EDM
;Paco Osuna;EDM
;Noisia;EDM
;Pegboard Nerds;EDM
;S.P.Y.;EDM
;KASE.O;Rap
;Natos y Waor;Rap
;SFDK;Rap
;Costa;Urbano
;Maikel Delacalle;Urbano
;Recycled J;Urbano/R&B
;Rels B;Urbano/R&B
;;
;;
;;
Barcelona Beach Festival;Alan Walker;EDM
11-jul;Armin Van Buuren;EDM
;Dimitri Vegas & Like Mike;EDM
;Marshmello;EDM
;Steve Aoki;EDM
;Timmy Trumpet;EDM
;W&W;EDM
;Brian Cross;EDM
;Dj Nano;EDM
;;
;;
Arenal Sound;Dimitri Vegas & Like Mike;EDM
28 jul- 2 ago;Kungs;EDM
;Leiva;Pop/Rock
;Nathy Peluso;Rap
;Miss Caffeina;Pop
;Arnau Griso;Pop
;Blake;Rap
;Daddy Yankee;Reggaeton
;Bryant Myers;Reggaeton
;Amaral;Pop
;Nil Moliner;Pop
;Despistaos;Rock
;Duki;Urbano
;DVBBS;EDM
;Rels B;Urbano/R&B
;Maikel Delacalle;Urbano
;Juancho Marqu‚s;Rap
;Recycled J;Urbano/R&B
;RVFV;Rap
;Sinsinati;Pop
;Black Eyed Peas;Pop/EDM
;Timmy Trumpet;EDM
;Zara Larsson;Pop/R&B
;Bad Gyal;Urbano
;FernandoCosta;Rap
;Omar Montes;Reggaeton
;Green Valley;Rap
;;
;;
;;
Rocanrola;KASE.O;Rap
10-11 abril;Natos y Waor;Rap
;SFDK;Rap
;Nach;Rap
;Lola Öndigo;Rap
;Rayden;Rap
;Fernandocosta;Rap
;Denom;Rap
;Anier;Rap
;Fyahbwoy;Reggae
;Juancho Marqu‚s;Rap
;Los chikos del ma¡z;Rap
;Hard Gz;Rap
;Costa;Rap
;Arce;Rap
;Foyone;Rap
;;
;;
;;
Holika;Bad Gyal;Urbano
2-4 jul;Rels B;R&B
;Chimbala;Reggaeton
;Juan Magan;Reggaeton
;Ocer y Rade;Rap
;Wade;EDM
;Ana Mena;Pop
;Danny Romero;Reggaeton
;Fuego;Reggaeton
;Magno;Rap
;Cecilio G;Urbano
;Skyhook;Urbano
;Sara Socas;Rap
;Luna Ki;Urbano
;Santa Salut;Rap
;Swit Eme;Rap
;Calero LDN;Rap
;Killah Man;Reggae
;;
;;
Madrid salvaje;KASE.O;Rap
;Fernandocosta;Rap
;Arce;Rap
;Blake;Rap
;Costa;Rap
;Denom;Rap
;Cruz Cafun‚;Rap
;Easy-S;Rap
;Foyone;Rap
;Funzo & Baby Loud;Rap
;Fyahbwoy;Reagge
;Kaze;Rap
;Matasvandals;Rap
;Morad;Rap
;Nadal015;Rap
;Nathy Peluso;Rap
;Nikone;Rap
;Soge Culebra;Rap
;Swit Eme;Rap
;31 FAM;Rap
