nombre,genero
Linea inutil
La Polla Records,Rock
Lendakaris Muertos,Rock
Talco,Rock
Anuel AA,Reggaeton
Karol G,Reggaeton
Martin Garrix,EDM
Nicky Romero,EDM
Timmy Trumpet,EDM
Ummet Ozcan,EDM
Carl Cox,EDM
Fisher,EDM
Marco Carola,EDM
Nina Kraviz,EDM
Costa,Urbano
Omar Montes,Reggaeton
Zetazen,Rap
Angerfist,EDM
Da Tweekaz,EDM
Head Hunterz,EDM
Alesso,EDM
Alison Wonderland,EDM
B-Front,EDM
Brennan Heart,EDM
Dj Nano,EDM
Vini Vici,EDM
Nervo,EDM
Amelie Lens,EDM
Anna,EDM
Anna Tur,EDM
Boris Brejcha,EDM
Cellini,EDM
Paco Osuna,EDM
Noisia,EDM
Pegboard Nerds,EDM
S.P.Y.,EDM
Natos y Waor,Rap
SFDK,Rap
Maikel Delacalle,Urbano
Recycled J,Urbano
Rels B,Urbano
Alan Walker,EDM
Armin Van Buuren,EDM
Dimitri Vegas & Like Mike,EDM
Marshmello,EDM
Steve Aoki,EDM
W&W,EDM
Brian Cross,EDM
Kungs,EDM
Leiva,Pop
Nathy Peluso,Rap
Miss Caffeina,Pop
Arnau Griso,Pop
Blake,Rap
Daddy Yankee,Reggaeton
Bryant Myers,Reggaeton
Amaral,Pop
Nil Moliner,Pop
Despistaos,Rock
Duki,Urbano
DVBBS,EDM
RVFV,Rap
Sinsinati,Pop
Black Eyed Peas,Pop
Zara Larsson,Pop
Bad Gyal,Urbano
Fernando Costa,Rap
Omar Montes,Reggaeton
Green Valley,Rap
Nach,Rap
Lola Indigo,Rap
Rayden,Rap
Anier,Rap
Los chikos del maiz,Rap
Hard Gz,Rap
Arce,Rap
Chimbala,Reggaeton
Juan Magan,Reggaeton
Ocer y Rade,Rap
Wade,EDM
Ana Mena,Pop
Danny Romero,Reggaeton
Fuego,Reggaeton
Magno,Rap
Cecilio G,Urbano
Skyhook,Urbano
Sara Socas,Rap
Luna Ki,Urbano
Santa Salut,Rap
Swit Eme,Rap
Calero LDN,Rap
Killah Man,Reggae
KASE.O,Rap
Denom,Rap
Cruz Cafun,Rap
Easy-S,Rap
Foyone,Rap
Funzo & Baby Loud,Rap
Fyahbwoy,Reggae
Kaze,Rap
Matasvandals,Rap
Morad,Rap
Nadal015,Rap
Nikone,Rap
Soge Culebra,Rap
31 FAM,Rap
